IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA11,CA12,CA20_15,CA23A,CA23C,CA23D,CA23E,CA23F,CA23G,CA24,CA25,CA26,CA7,CA8,CA8B3,OS1,PER1,Q1,Q31,STRADEF,CA23C_DETAIL_1,CA23C_DETAIL_10,CA23C_DETAIL_11,CA23C_DETAIL_12,CA23C_DETAIL_13,CA23C_DETAIL_14,CA23C_DETAIL_15,CA23C_DETAIL_16,CA23C_DETAIL_17,CA23C_DETAIL_18,CA23C_DETAIL_2,CA23C_DETAIL_3,CA23C_DETAIL_4,CA23C_DETAIL_6,CA23C_DETAIL_7,CA23C_DETAIL_8,CA23C_DETAIL_9,CA23G_1,CA23G_2,CA23G_3,CA23G_4,CA23G_5,CA26_8,CONTRAT_15,LIEUNAIS,PHD,PONDEF,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
A0041763,24,111,ÎLE-DE-FRANCE,11,6,6,1,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,55.910679087,41,2600,1,1,3,2
A0041768,23,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,38.976518038,41,3792,1,0,0,2
A0041784,23,120,PROVENCE-ALPES-CÔTE D'AZUR,93,1,1,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,57.21639811,41,2342,1,6,6,2
A0041890,23,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,52.899859902,11,3500,1,0,27,2
A0041908,24,111,ÎLE-DE-FRANCE,11,6,6,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,64.533939036,11,2700,1,4,4,2
A0041926,25,111,ÎLE-DE-FRANCE,11,6,6,2,1,8,2,2,,,2,,,,,,2,1,1,2,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,"02 CDI, Fonctionnaire",00,16,33.796712197,11,1495,1,0,0,2
A0041976,23,111,ÎLE-DE-FRANCE,11,1,4,2,2,,,,,,2,,,1,,,2,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,37.860289027,11,2492,1,0,0,2
A0042242,23,111,ÎLE-DE-FRANCE,11,3,2,2,2,,,,,,2,,,,,,2,1,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,04 Emploi à durée déterminée,00,16,42.077314852,82,1700,1,2,6,2
A0042300,24,111,NORD-PAS-DE-CALAIS,31,1,3,1,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,40.898777416,31,2750,1,0,9,2
A0042398,27,111,NORD-PAS-DE-CALAIS,31,1,1,1,2,,,,,,2,,,2,2,1,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,30.197689735,31,2129.6640625,1,0,0,2
A0042416,23,111,NORD-PAS-DE-CALAIS,31,6,5,2,2,,,,,,2,,,,,,1,1,1,2,49,,,,,,,,,,,,,,,,,,,,,,,,"02 CDI, Fonctionnaire",00,16,44.463880631,31,3116.328125,1,0,0,2
